,Anno,Mese,Valore_mean,Valore_std,Data
0,2015,1,102.49701434140017,22.290326159944726,2020-01-01
3,2015,4,79.90297765966112,25.467548689794846,2020-04-01
12,2016,1,98.49959906843733,31.79373578469822,2020-01-01
15,2016,4,67.80270370330439,12.677398289081724,2020-04-01
24,2017,1,106.76725701033101,25.478398384202922,2020-01-01
27,2017,4,72.52448066448801,18.64257299113648,2020-04-01
36,2018,1,81.95181056293485,15.974132154612125,2020-01-01
39,2018,4,71.7086727994228,16.255814527989948,2020-04-01
48,2019,1,89.59524378030783,18.127665427114064,2020-01-01
51,2019,4,64.43730392156863,20.75766313300556,2020-04-01
60,2020,1,96.24435747417246,13.780657326620757,2020-01-01
63,2020,4,43.87733660130719,16.821263589138454,2020-04-01
72,2021,1,73.77760752688172,13.888062172245528,2020-01-01
75,2021,4,57.13591067538127,15.509004499805156,2020-04-01
